Date,Return
1968-03-31,-0.13709691166877747
1968-04-30,1.2925000190734863
1968-05-31,0.8265708684921265
1968-06-30,0.10396796464920044
1968-07-31,-0.12449806183576584
1968-08-31,0.35053181648254395
1968-09-30,0.5239797234535217
1968-10-31,0.07858465611934662
1968-11-30,-0.23111961781978607
1968-12-31,0.08433527499437332
1969-01-31,0.051891934126615524
1969-02-28,-0.2402215600013733
1969-03-31,0.07994028925895691
1969-04-30,-0.07379420101642609
1969-05-31,0.14480158686637878
1969-06-30,-1.3176311254501343
1969-07-31,-0.5814918279647827
1969-08-31,0.1450338512659073
1969-09-30,-0.14156827330589294
1969-10-31,0.6146292090415955
1969-11-30,0.011057729832828045
1969-12-31,-0.46922722458839417
1970-01-31,-0.021092044189572334
1970-02-28,-0.022545453161001205
1970-03-31,0.39677879214286804
1970-04-30,1.129693865776062
1970-05-31,0.3062989115715027
1970-06-30,1.0318665504455566
1970-07-31,-0.26701611280441284
1970-08-31,-0.5183568000793457
1970-09-30,-1.6558659076690674
1970-10-31,1.0664244890213013
1970-11-30,0.049778252840042114
1970-12-31,-1.1020615100860596
1971-01-31,-0.8977383375167847
1971-02-28,-0.3743985891342163
1971-03-31,-0.013872811570763588
1971-04-30,-0.041220106184482574
1971-05-31,0.516060471534729
1971-06-30,0.296731173992157
1971-07-31,0.3489276170730591
1971-08-31,0.10045750439167023
1971-09-30,-0.003299010917544365
1971-10-31,-0.3233047127723694
1971-11-30,0.37521350383758545
1971-12-31,-1.2029085159301758
1972-01-31,0.7481009364128113
1972-02-29,-0.09088051319122314
1972-03-31,0.16272801160812378
1972-04-30,0.07313713431358337
1972-05-31,-0.09998606145381927
1972-06-30,0.013103518635034561
1972-07-31,0.06144383177161217
1972-08-31,0.054892025887966156
1972-09-30,0.05975209176540375
1972-10-31,0.1830301582813263
1972-11-30,-0.13309583067893982
1972-12-31,0.3573252558708191
1973-01-31,0.419123113155365
1973-02-28,0.8949167728424072
1973-03-31,0.7476344108581543
1973-04-30,1.2928931713104248
1973-05-31,1.3723115921020508
1973-06-30,0.800254762172699
1973-07-31,-1.2269569635391235
1973-08-31,0.8352068662643433
1973-09-30,-0.38744238018989563
1973-10-31,0.2813950777053833
1973-11-30,1.2304346561431885
1973-12-31,0.41516435146331787
1974-01-31,-0.08753223717212677
1974-02-28,0.2766425907611847
1974-03-31,0.09109096974134445
1974-04-30,0.3269668519496918
1974-05-31,0.8856396675109863
1974-06-30,0.46155261993408203
1974-07-31,0.48766660690307617
1974-08-31,1.1646314859390259
1974-09-30,0.9069244861602783
1974-10-31,-0.5811384320259094
1974-11-30,0.7206173539161682
1974-12-31,0.9084497690200806
1975-01-31,-2.2205042839050293
1975-02-28,0.0836750864982605
1975-03-31,-0.912555456161499
1975-04-30,0.0264136865735054
1975-05-31,-1.2829997539520264
1975-06-30,0.020260751247406006
1975-07-31,0.2920650839805603
1975-08-31,0.14961807429790497
1975-09-30,-0.1955690234899521
1975-10-31,0.005708474665880203
1975-11-30,0.235100656747818
1975-12-31,0.0764741599559784
1976-01-31,1.4861578941345215
1976-02-29,-0.31427791714668274
1976-03-31,0.12748700380325317
1976-04-30,0.09813626855611801
1976-05-31,-0.17507518827915192
1976-06-30,0.13156113028526306
1976-07-31,0.1530318707227707
1976-08-31,-0.021013032644987106
1976-09-30,0.20139802992343903
1976-10-31,-0.08421463519334793
1976-11-30,0.29773634672164917
1976-12-31,0.6640834212303162
1977-01-31,0.5038515329360962
1977-02-28,0.13603535294532776
1977-03-31,0.08808240294456482
1977-04-30,0.09400977194309235
1977-05-31,0.12142279744148254
1977-06-30,0.49479547142982483
1977-07-31,0.2504962980747223
1977-08-31,-0.05137921869754791
1977-09-30,0.17309674620628357
1977-10-31,-0.16314339637756348
1977-11-30,0.8734563589096069
1977-12-31,0.21153804659843445
1978-01-31,-0.055154163390398026
1978-02-28,0.3108212351799011
1978-03-31,0.3939850330352783
1978-04-30,0.48567402362823486
1978-05-31,0.813188910484314
1978-06-30,0.14047196507453918
1978-07-31,0.7689763307571411
1978-08-31,1.2635607719421387
1978-09-30,0.054927751421928406
1978-10-31,-2.1483469009399414
1978-11-30,0.7017503976821899
1978-12-31,0.1762159764766693
1979-01-31,0.7377228140830994
1979-02-28,-0.02998255006968975
1979-03-31,0.3436751365661621
1979-04-30,0.16294801235198975
1979-05-31,-0.013041041791439056
1979-06-30,0.3541582524776459
1979-07-31,0.05373444780707359
1979-08-31,0.17854908108711243
1979-09-30,-0.012783490121364594
1979-10-31,-0.6330947279930115
1979-11-30,0.39696264266967773
1979-12-31,0.646683931350708
1980-01-31,0.5354083776473999
1980-02-29,0.014116145670413971
1980-03-31,-0.9896516799926758
1980-04-30,0.3677547574043274
1980-05-31,0.7386000156402588
1980-06-30,0.31708604097366333
1980-07-31,1.0490562915802002
1980-08-31,0.8079837560653687
1980-09-30,0.5755568146705627
1980-10-31,0.5059022307395935
1980-11-30,0.9692558646202087
1980-12-31,-0.6152980923652649
1981-01-31,-0.08155082166194916
1981-02-28,-0.2327234148979187
1981-03-31,0.90335613489151
1981-04-30,0.19828009605407715
1981-05-31,0.3094485402107239
1981-06-30,-0.0314793661236763
1981-07-31,-0.32763373851776123
1981-08-31,-0.8949552774429321
1981-09-30,-0.49213939905166626
1981-10-31,0.4129399359226227
1981-11-30,0.32562220096588135
1981-12-31,0.2341712862253189
1982-01-31,0.1003071591258049
1982-02-28,0.5842122435569763
1982-03-31,0.3906971514225006
1982-04-30,-0.30626049637794495
1982-05-31,0.2894361615180969
